iter	Logloss
0	0.6793524284
1	0.6679413542
2	0.6585485931
3	0.6507132727
4	0.6431834967
5	0.637035134
6	0.6318971565
7	0.627326587
8	0.623344864
9	0.6197275611
10	0.6164825497
11	0.6137453625
12	0.6106763692
13	0.608301909
14	0.6061207814
15	0.6039225525
16	0.6019519422
17	0.6000931231
18	0.5982160091
19	0.5965311713
20	0.5947962451
21	0.5933814583
22	0.5919803444
23	0.5906323768
24	0.5893607388
25	0.5882033643
26	0.5870864981
27	0.5860535951
28	0.5849824091
29	0.5839468899
30	0.5828738724
31	0.5818956751
32	0.5810333819
33	0.5801993862
34	0.5794245897
35	0.5787309731
36	0.5779375747
37	0.5772319156
38	0.5766027084
39	0.5757880645
40	0.5750559797
41	0.5743595579
42	0.5737906833
43	0.5728704145
44	0.5723408125
45	0.5717702194
46	0.5712261465
47	0.5707250555
48	0.5701730831
49	0.5694195316
50	0.5689936979
51	0.5685338453
52	0.5678103575
53	0.5673610375
54	0.5669510061
55	0.5665598139
56	0.5661254815
57	0.5657340866
58	0.5652840877
59	0.564933794
60	0.5644814392
61	0.5640587334
62	0.5636285554
63	0.563276492
64	0.5628657623
65	0.5622742097
66	0.5619216136
67	0.5615374206
68	0.5611539798
69	0.5607476565
70	0.5604377549
71	0.5600914801
72	0.5598015038
73	0.5595476321
74	0.5592288182
75	0.5588655179
76	0.558562548
77	0.5583050186
78	0.5580068107
79	0.5576769478
80	0.5574300127
81	0.5571337881
82	0.5569286918
83	0.5566672066
84	0.556439649
85	0.5561627967
86	0.5555497348
87	0.5551702311
88	0.5549181611
89	0.5547264109
90	0.554493737
91	0.5540910336
92	0.5537974919
93	0.5535892502
94	0.5533647774
95	0.5531275937
96	0.552790457
97	0.5524489458
98	0.5522386615
99	0.5520000462
100	0.5517806601
101	0.5514872654
102	0.5513087355
103	0.5511139966
104	0.5509348337
105	0.5507381347
106	0.5504836096
107	0.5502531689
108	0.5500811964
109	0.5496263335
110	0.5493743591
111	0.5491877025
112	0.5489883021
113	0.5488070686
114	0.5486323946
115	0.548395283
116	0.5481685708
117	0.5479757526
118	0.5476812762
119	0.5475115256
120	0.5472849241
121	0.5470211686
122	0.5468466301
123	0.5465109088
124	0.5462642334
125	0.5461013073
126	0.5459353852
127	0.5456921123
128	0.5455018557
129	0.5453220023
130	0.545049744
131	0.5448714769
132	0.5447210507
133	0.544520218
134	0.5443382704
135	0.544153257
136	0.5439892382
137	0.5438069381
138	0.5436204311
139	0.543479934
140	0.5432361551
141	0.542946466
142	0.5427809628
143	0.5424469378
144	0.5422696027
145	0.5420296341
146	0.5418802244
147	0.5417520077
148	0.5415709212
149	0.5414107341
150	0.5412539769
151	0.5411180676
152	0.5409376008
153	0.5407781638
154	0.5406191507
155	0.5403165909
156	0.5401888346
157	0.5399669807
158	0.5397452724
159	0.5395852162
