iter	Passed	Remaining
633	11517	6648
634	11523	6623
635	11529	6598
636	11536	6573
637	11542	6548
638	11548	6524
639	11554	6499
640	11560	6474
641	11566	6449
642	11573	6425
643	11579	6401
644	11586	6377
645	11593	6352
646	11599	6328
647	11606	6304
648	11613	6281
649	11619	6256
650	11625	6232
651	11632	6208
652	11639	6185
653	11646	6161
654	11652	6137
655	11658	6113
656	11664	6089
657	11670	6065
658	11676	6042
659	11682	6018
660	11689	5994
661	11695	5971
662	11701	5948
663	11708	5924
664	11714	5901
665	11720	5877
666	11726	5854
667	11732	5831
668	11738	5807
669	11744	5784
670	11750	5761
671	11756	5738
672	11762	5715
673	11769	5692
674	11775	5669
675	11781	5646
676	11787	5623
677	11793	5601
678	11799	5578
679	11805	5555
680	11811	5532
681	11817	5510
682	11824	5487
683	11830	5465
684	11837	5443
685	11843	5421
686	11849	5398
687	11856	5376
688	11861	5354
689	11867	5331
690	11873	5309
691	11879	5287
692	11886	5265
693	11892	5243
694	11898	5221
695	11904	5199
696	11910	5177
697	11917	5156
698	11923	5134
699	11929	5112
700	11935	5090
701	11941	5069
702	11947	5047
703	11953	5026
704	11959	5004
705	11966	4983
706	11972	4961
707	11978	4940
708	11984	4919
709	11990	4897
710	11997	4876
711	12003	4855
712	12009	4834
713	12016	4813
714	12022	4792
715	12028	4771
716	12034	4750
717	12041	4729
718	12047	4708
719	12053	4687
720	12059	4666
721	12066	4645
722	12072	4625
723	12078	4604
724	12085	4583
725	12091	4563
726	12097	4542
727	12104	4522
728	12110	4501
729	12116	4481
730	12122	4460
731	12128	4440
732	12134	4420
733	12140	4399
734	12146	4379
735	12153	4359
736	12159	4339
737	12165	4319
738	12171	4298
739	12177	4278
740	12184	4258
741	12191	4239
742	12197	4219
743	12204	4199
744	12210	4179
745	12217	4159
746	12223	4140
747	12229	4120
748	12237	4101
749	12244	4081
750	12253	4062
751	12260	4043
752	12268	4024
753	12274	4004
754	12281	3985
755	12290	3966
756	12298	3947
757	12306	3928
758	12313	3909
759	12321	3890
760	12328	3871
761	12335	3852
762	12342	3833
763	12350	3815
764	12356	3795
765	12363	3776
766	12371	3758
767	12377	3738
768	12384	3720
769	12392	3701
770	12403	3683
771	12411	3665
772	12421	3647
773	12428	3628
774	12437	3610
775	12443	3591
776	12451	3573
777	12457	3554
778	12465	3536
779	12472	3518
780	12480	3499
781	12488	3481
782	12495	3463
783	12503	3444
784	12510	3426
785	12519	3408
786	12527	3390
787	12535	3372
788	12542	3354
789	12550	3336
790	12557	3317
791	12565	3300
792	12573	3282
793	12582	3264
794	12589	3246
795	12597	3228
796	12604	3210
797	12611	3192
798	12620	3174
799	12627	3156
800	12635	3139
801	12641	3120
802	12648	3103
803	12655	3085
804	12661	3067
805	12669	3049
806	12676	3031
807	12684	3014
808	12690	2996
809	12697	2978
810	12703	2960
811	12709	2942
812	12718	2925
813	12725	2907
814	12733	2890
815	12741	2873
816	12753	2856
817	12764	2840
818	12773	2822
819	12783	2806
820	12791	2788
821	12799	2771
822	12806	2754
823	12814	2737
824	12822	2719
825	12834	2703
826	12845	2687
827	12856	2670
828	12866	2654
829	12873	2636
830	12883	2620
831	12889	2602
832	12898	2585
833	12905	2568
834	12914	2551
835	12921	2534
836	12933	2518
837	12940	2501
838	12948	2484
839	12955	2467
840	12963	2450
841	12971	2434
842	12979	2417
843	12986	2400
844	12995	2383
845	13002	2366
846	13010	2350
847	13018	2333
848	13025	2316
849	13035	2300
850	13044	2283
851	13052	2267
852	13061	2250
853	13068	2234
854	13076	2217
855	13085	2201
856	13094	2185
857	13101	2168
858	13108	2151
859	13164	2142
860	13175	2126
861	13192	2112
862	13203	2096
863	13214	2080
864	13226	2064
865	13237	2048
866	13249	2032
867	13258	2016
868	13269	2000
869	13281	1984
870	13293	1968
871	13303	1952
872	13317	1937
873	13329	1921
874	13338	1905
875	13353	1890
876	13364	1874
877	13379	1859
878	13392	1843
879	13408	1828
880	13425	1813
881	13438	1797
882	13484	1786
883	13519	1774
884	13532	1758
885	13551	1743
886	13567	1728
887	13592	1714
888	13611	1699
889	13628	1684
890	13653	1670
891	13683	1656
892	13707	1642
893	13731	1628
894	13744	1612
895	13763	1597
896	13778	1582
897	13816	1569
898	13839	1554
899	13875	1541
900	13923	1529
901	13935	1514
902	13947	1498
903	13960	1482
904	13970	1466
905	13983	1450
906	13995	1435
907	14006	1419
908	14017	1403
909	14029	1387
910	14041	1371
911	14051	1355
912	14062	1339
913	14073	1324
914	14083	1308
915	14095	1292
916	14106	1276
917	14116	1260
918	14128	1245
919	14140	1229
920	14151	1213
921	14163	1198
922	14175	1182
923	14186	1166
924	14197	1151
925	14210	1135
926	14221	1119
927	14231	1104
928	14243	1088
929	14255	1073
930	14265	1057
931	14276	1041
932	14288	1026
933	14298	1010
934	14311	994
935	14322	979
936	14334	963
937	14348	948
938	14364	933
939	14377	917
940	14390	902
941	14400	886
942	14411	871
943	14423	855
944	14434	840
945	14446	824
946	14457	809
947	14469	793
948	14481	778
949	14493	762
950	14505	747
951	14516	731
952	14528	716
953	14540	701
954	14551	685
955	14562	670
956	14573	654
957	14586	639
958	14597	624
959	14609	608
960	14623	593
961	14633	578
962	14644	562
963	14656	547
964	14669	532
965	14680	516
966	14691	501
967	14704	486
968	14715	470
969	14727	455
970	14739	440
971	14751	424
972	14762	409
973	14775	394
974	14786	379
975	14796	363
976	14808	348
977	14820	333
978	14831	318
979	14842	302
980	14854	287
981	14865	272
982	14878	257
983	14901	242
984	14941	227
985	14986	212
986	15019	197
987	15045	182
988	15062	167
989	15078	152
990	15094	137
991	15110	121
992	15134	106
993	15181	91
994	15232	76
995	15270	61
996	15314	46
997	15362	30
998	15410	15
999	15430	0
